date,unformattedDate,age,marketValue,marketValueUnformatted,marketValueCurrency,marketValueNumeral,clubID,clubName,clubShortName,clubImage,seasonID,Name
11.2022,2022-11-09,31,"3,50",3500000,€,Mio.,167,FC Augsburg,FC Augsburg,https://tmssl.akamaized.net/images/wappen/medium/167.png?lm=1656582897,22/23,Jeffrey Gouweleeuw
06.2022,2022-06-09,30,"3,50",3500000,€,Mio.,167,FC Augsburg,FC Augsburg,https://tmssl.akamaized.net/images/wappen/medium/167.png?lm=1656582897,21/22,Jeffrey Gouweleeuw
12.2021,2021-12-22,30,"4,50",4500000,€,Mio.,167,FC Augsburg,FC Augsburg,https://tmssl.akamaized.net/images/wappen/medium/167.png?lm=1656582897,21/22,Jeffrey Gouweleeuw
06.2021,2021-06-09,29,"7,00",7000000,€,Mio.,167,FC Augsburg,FC Augsburg,https://tmssl.akamaized.net/images/wappen/medium/167.png?lm=1656582897,20/21,Jeffrey Gouweleeuw
02.2021,2021-02-10,29,"9,00",9000000,€,Mio.,167,FC Augsburg,FC Augsburg,https://tmssl.akamaized.net/images/wappen/medium/167.png?lm=1656582897,20/21,Jeffrey Gouweleeuw
04.2020,2020-04-08,28,"9,50",9500000,€,Mio.,167,FC Augsburg,FC Augsburg,https://tmssl.akamaized.net/images/wappen/medium/167.png?lm=1656582897,19/20,Jeffrey Gouweleeuw
12.2019,2019-12-17,28,"12,00",12000000,€,Mio.,167,FC Augsburg,FC Augsburg,https://tmssl.akamaized.net/images/wappen/medium/167.png?lm=1656582897,19/20,Jeffrey Gouweleeuw
06.2019,2019-06-05,27,"12,00",12000000,€,Mio.,167,FC Augsburg,FC Augsburg,https://tmssl.akamaized.net/images/wappen/medium/167.png?lm=1656582897,18/19,Jeffrey Gouweleeuw
12.2018,2018-12-18,27,"12,00",12000000,€,Mio.,167,FC Augsburg,FC Augsburg,https://tmssl.akamaized.net/images/wappen/medium/167.png?lm=1656582897,18/19,Jeffrey Gouweleeuw
06.2018,2018-06-05,26,"8,00",8000000,€,Mio.,167,FC Augsburg,FC Augsburg,https://tmssl.akamaized.net/images/wappen/medium/167.png?lm=1656582897,17/18,Jeffrey Gouweleeuw
12.2017,2017-12-28,26,"6,00",6000000,€,Mio.,167,FC Augsburg,FC Augsburg,https://tmssl.akamaized.net/images/wappen/medium/167.png?lm=1656582897,17/18,Jeffrey Gouweleeuw
06.2017,2017-06-19,25,"3,50",3500000,€,Mio.,167,FC Augsburg,FC Augsburg,https://tmssl.akamaized.net/images/wappen/medium/167.png?lm=1656582897,16/17,Jeffrey Gouweleeuw
02.2017,2017-02-07,25,"3,50",3500000,€,Mio.,167,FC Augsburg,FC Augsburg,https://tmssl.akamaized.net/images/wappen/medium/167.png?lm=1656582897,16/17,Jeffrey Gouweleeuw
07.2016,2016-07-22,25,"3,50",3500000,€,Mio.,167,FC Augsburg,FC Augsburg,https://tmssl.akamaized.net/images/wappen/medium/167.png?lm=1656582897,16/17,Jeffrey Gouweleeuw
02.2016,2016-02-15,24,"3,00",3000000,€,Mio.,167,FC Augsburg,FC Augsburg,https://tmssl.akamaized.net/images/wappen/medium/167.png?lm=1656582897,15/16,Jeffrey Gouweleeuw
07.2015,2015-07-01,23,"3,00",3000000,€,Mio.,1090,AZ Alkmaar,AZ Alkmaar,https://tmssl.akamaized.net/images/wappen/medium/1090.png?lm=1586848339,15/16,Jeffrey Gouweleeuw
02.2015,2015-02-16,23,"2,50",2500000,€,Mio.,1090,AZ Alkmaar,AZ Alkmaar,https://tmssl.akamaized.net/images/wappen/medium/1090.png?lm=1586848339,14/15,Jeffrey Gouweleeuw
08.2014,2014-08-11,23,"2,50",2500000,€,Mio.,1090,AZ Alkmaar,AZ Alkmaar,https://tmssl.akamaized.net/images/wappen/medium/1090.png?lm=1586848339,14/15,Jeffrey Gouweleeuw
02.2014,2014-02-11,22,"2,50",2500000,€,Mio.,1090,AZ Alkmaar,AZ Alkmaar,https://tmssl.akamaized.net/images/wappen/medium/1090.png?lm=1586848339,13/14,Jeffrey Gouweleeuw
06.2013,2013-06-12,21,"2,50",2500000,€,Mio.,306,SC Heerenveen,SC Heerenveen,https://tmssl.akamaized.net/images/wappen/medium/306.png?lm=1655978084,12/13,Jeffrey Gouweleeuw
01.2013,2013-01-16,21,"2,50",2500000,€,Mio.,306,SC Heerenveen,SC Heerenveen,https://tmssl.akamaized.net/images/wappen/medium/306.png?lm=1655978084,12/13,Jeffrey Gouweleeuw
07.2012,2012-07-06,20,"3,00",3000000,€,Mio.,306,SC Heerenveen,SC Heerenveen,https://tmssl.akamaized.net/images/wappen/medium/306.png?lm=1655978084,12/13,Jeffrey Gouweleeuw
01.2012,2012-01-10,20,"1,50",1500000,€,Mio.,306,SC Heerenveen,SC Heerenveen,https://tmssl.akamaized.net/images/wappen/medium/306.png?lm=1655978084,11/12,Jeffrey Gouweleeuw
10.2011,2011-10-21,20,500,500000,€,Tsd.,306,SC Heerenveen,SC Heerenveen,https://tmssl.akamaized.net/images/wappen/medium/306.png?lm=1655978084,11/12,Jeffrey Gouweleeuw
06.2011,2011-06-28,19,300,300000,€,Tsd.,24368,SC Heerenveen U21,Heerenveen U21,https://tmssl.akamaized.net/images/wappen/medium/24368.png?lm=1655978084,10/11,Jeffrey Gouweleeuw
04.2011,2011-04-07,19,50,50000,€,Tsd.,24368,SC Heerenveen U21,Heerenveen U21,https://tmssl.akamaized.net/images/wappen/medium/24368.png?lm=1655978084,10/11,Jeffrey Gouweleeuw
