Ruecken-Nr.,Vorname,Nachname,Club,Position,left/fight-foot,Born,contract duration,c-year,wage per year,2007 Market value,2008 Market value,2009 Market value,2010 Market value,2011 Market value,2012 Market value,2013 Market value,2014 Market value,2015 Market value,2016 Market value,2017 Market value,2018 Market value,2019 Market value,2020 Market value,2021 Market value,2022 Market value,2023 Market value
2,Mateu Morey,Bauza,BVB,defence,Rechts-Fuss,2000-03-02,5,2019,996000,0,0,0,0,0,0,0,0,0,0,0,300000,1000000,3000000,7000000,4000000,1500000
4,Nico,Schlotterbeck ,BVB,defence,Links-Fuss,1999-12-01,5,2022,224000,0,0,0,0,0,0,0,0,0,0,0,75000,2500000,4000000,13000000,33000000,40000000
13,Raphael,Guerreiro ,BVB,defence,Links-Fuss,1993-12-22,4,2019,5000000,0,0,0,0,0,200000,2000000,3500000,7500000,18000000,20000000,21000000,25000000,35000000,40000000,20000000,20000000
14,Nico,Schulz,BVB,defence,Links-Fuss,1993-04-01,5,2019,6000000,0,0,0,500000,1000000,500000,2200000,3000000,3500000,3000000,3000000,20000000,25000000,10000000,6000000,2000000,2000000
15,Mats,Hummels,BVB,defence,Rechts-Fuss,1988-12-16,4,2019,10000000,250000,2500000,4500000,10000000,15000000,20000000,26000000,35000000,35000000,32000000,40000000,40000000,30000000,20000000,9000000,6500000,6500000
24,Thomas,Meunier,BVB,defence,Rechts-Fuss,1991-09-12,4,2020,3100000,0,0,0,0,700000,2000000,2200000,3500000,7000000,6000000,9000000,35000000,30000000,28000000,9000000,6500000,6500000
36,Thom,Rothe,BVB,defence,Links-Fuss,2004-10-29,2,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200000,3500000,3500000
47,Antonios,Papadopoulos,BVB,defence,Rechts-Fuss,1999-09-10,3,2021,0,0,0,0,0,0,0,0,0,0,0,50000,50000,200000,200000,300000,600000,600000
26,Julian,Ryerson,BVB,defence,Rechts-Fuss,1997-11-17,3,2023,1080000,0,0,0,0,0,0,0,0,0,0,200000,400000,500000,800000,4000000,7500000,10000000
25,Niklas,Suele,BVB,defence,Rechts-Fuss,1995-09-03,4,2022,3000000,0,0,0,0,0,25000,1000000,5500000,8000000,12000000,30000000,50000000,60000000,48000000,35000000,35000000,35000000
44,Soumaila,Coulibaly,BVB,defence,Links-Fuss,2003-10-14,3,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900000,750000,1000000,1000000
6,Salih,Oezcan ,BVB,midfield,Rechts-Fuss,1998-11-01,4,2022,547000,0,1,1,1,1,1,1,1,1,500000,2500000,3500000,2500000,2700000,4000000,17000000,17000000
7,Giovanni,Reyna,BVB,midfield,Rechts-Fuss,2002-11-13,5,2020,876000,0,0,0,0,0,0,0,0,0,0,0,0,0,30000000,42000000,35000000,28000000
8,Mahmoud,Dahoud,BVB,midfield,Rechts-Fuss,1996-01-01,6,2017,4000000,0,0,0,0,0,0,0,600000,2500000,15000000,15000000,18000000,8000000,10000000,18000000,18000000,12000000
11,Marco,Reus,BVB,midfield,Rechts-Fuss,1989-05-31,5,2018,6600000,0,250000,1500000,6500000,14000000,27000000,34000000,50000000,45000000,40000000,28000000,50000000,40000000,25000000,13000000,9000000,9000000
17,Marius,Wolf,BVB,midfield,Rechts-Fuss,1995-05-27,6,2018,3300000,0,0,0,0,0,0,0,100000,800000,1000000,500000,10000000,8000000,6500000,5000000,6500000,9000000
19,Julian,Brandt,BVB,midfield,Rechts-Fuss,1996-05-02,5,2019,7000000,0,0,0,0,0,0,0,1000000,10000000,16000000,30000000,40000000,50000000,35000000,25000000,25000000,40000000
22,Jude,Bellingham,BVB,midfield,Rechts-Fuss,2003-06-29,4,2021,3000000,0,0,0,0,0,0,0,0,0,0,0,0,25000000,27000000,75000000,100000000,120000000
23,Emre,Can,BVB,midfield,Rechts-Fuss,1994-01-12,4,2020,9300000,0,0,0,0,0,300000,5000000,12000000,15000000,18000000,22000000,30000000,30000000,26000000,22000000,14000000,14000000
30,Felix,Passlack,BVB,midfield,Rechts-Fuss,1998-05-29,2,2021,943000,0,0,0,0,0,0,0,0,0,0,0,1500000,1500000,3000000,2500000,1500000,1500000
32,Abdoulaye,Kamara,BVB,midfield,Rechts-Fuss,2004-11-06,3,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000,1000000,1000000
42,Goektan,guerpuez,BVB,midfield,Rechts-Fuss,2003-01-22,3,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000,300000,300000
9,Sebastien,Haller,BVB,attack,Rechts-Fuss,1994-06-22,4,2022,2000000,0,0,0,0,0,200000,750000,1250000,3500000,7500000,12000000,35000000,45000000,30000000,27000000,35000000,30000000
18,Youssoufa,Moukoko,BVB,attack,Links-Fuss,2004-11-20,3,2020,360000,0,0,0,0,0,0,0,0,0,0,0,0,0,10000000,15000000,30000000,30000000
20,Anthony,Modeste,BVB,attack,Rechts-Fuss,1988-04-14,1,2022,2300000,0,0,0,0,0,0,0,0,0,0,0,16000000,4000000,2800000,2000000,4000000,1000000
21,Donyell,Malen,BVB,attack,Rechts-Fuss,1999-01-19,5,2021,366000,0,0,0,0,0,0,0,0,0,0,0,5000000,28000000,25000000,30000000,27000000,16000000
27,Karim,Adeyemi,BVB,attack,Links-Fuss,2002-01-18,5,2022,2650000,0,0,0,0,0,0,0,0,0,0,0,1500000,7500000,9000000,35000000,35000000,35000000
